HUMAN00001	ENSG00000186092
HUMAN00263	ENSG00000120937
HUMAN00264	ENSG00000116685
HUMAN00267	ENSG00000083444
HUMAN00268	ENSG00000116688
HUMAN00269	ENSG00000116691
HUMAN00270	ENSG00000120949
HUMAN00271	ENSG00000028137
HUMAN00272	ENSG00000048707
HUMAN00274	ENSG00000162496
HUMAN00275	ENSG00000204518
HUMAN00276	ENSG00000188984
HUMAN00277	ENSG00000157330
HUMAN00278	ENSG00000116726
HUMAN00279	ENSG00000116721
HUMAN00280	ENSG00000239810
HUMAN00281	ENSG00000179172
HUMAN00282	ENSG00000120952
HUMAN00283	ENSG00000243073
HUMAN00284	ENSG00000187545
HUMAN00285	ENSG00000204510
HUMAN00286	ENSG00000232423
HUMAN00287	ENSG00000274764
HUMAN00288	ENSG00000229571
HUMAN00289	ENSG00000277058
HUMAN00290	ENSG00000275774
HUMAN00291	ENSG00000280267
HUMAN00292	ENSG00000179412
HUMAN00293	ENSG00000204505
HUMAN00294	ENSG00000279804
HUMAN00295	ENSG00000270601
HUMAN00296	ENSG00000182330
HUMAN00297	ENSG00000204501
HUMAN00298	ENSG00000204481
HUMAN00299	ENSG00000204480
HUMAN00300	ENSG00000204479
HUMAN00301	ENSG00000204478
HUMAN00302	ENSG00000162494
HUMAN00304	ENSG00000162493
HUMAN00305	ENSG00000116731
HUMAN00308	ENSG00000189337
HUMAN00310	ENSG00000171729
HUMAN00311	ENSG00000142621
HUMAN00314	ENSG00000142634
HUMAN00316	ENSG00000162438
HUMAN00317	ENSG00000142615
HUMAN00318	ENSG00000215704
HUMAN00322	ENSG00000132906
HUMAN00323	ENSG00000116138
HUMAN00324	ENSG00000116771
HUMAN00325	ENSG00000197312
HUMAN00326	ENSG00000215695
HUMAN00327	ENSG00000116786
HUMAN00328	ENSG00000162461
HUMAN00329	ENSG00000162460
HUMAN00330	ENSG00000162458
HUMAN00332	ENSG00000233954
HUMAN00333	ENSG00000065526
HUMAN00335	ENSG00000116809
HUMAN00336	ENSG00000183888
HUMAN00338	ENSG00000173641
HUMAN00339	ENSG00000186510
HUMAN00340	ENSG00000184908
HUMAN00342	ENSG00000185519
HUMAN00343	ENSG00000142627
HUMAN00344	ENSG00000142632
HUMAN00346	ENSG00000132881
HUMAN00347	ENSG00000037637
HUMAN00348	ENSG00000055070
HUMAN00350	ENSG00000187144
HUMAN00354	ENSG00000157191
HUMAN00356	ENSG00000268991
HUMAN00357	ENSG00000219481
HUMAN00358	ENSG00000237847
HUMAN00359	ENSG00000279132
HUMAN00360	ENSG00000058453
HUMAN00361	ENSG00000117122
HUMAN00362	ENSG00000159363
HUMAN00365	ENSG00000117118
HUMAN00366	ENSG00000117115
HUMAN00367	ENSG00000142623
HUMAN00368	ENSG00000142619
HUMAN00370	ENSG00000159339
HUMAN00371	ENSG00000280226
HUMAN00372	ENSG00000276747
HUMAN00373	ENSG00000179051
HUMAN00374	ENSG00000074964
HUMAN00375	ENSG00000117148
HUMAN00376	ENSG00000117154
HUMAN00377	ENSG00000179023
HUMAN00378	ENSG00000009709
HUMAN00379	ENSG00000179002
HUMAN00380	ENSG00000159423
HUMAN00381	ENSG00000169991
HUMAN00382	ENSG00000127481
HUMAN00385	ENSG00000127463
HUMAN00386	ENSG00000053372
HUMAN00387	ENSG00000211454
HUMAN00388	ENSG00000162482
HUMAN00389	ENSG00000053371
HUMAN00390	ENSG00000040487
HUMAN00393	ENSG00000077549
HUMAN00395	ENSG00000173436
HUMAN00396	ENSG00000270136
HUMAN00398	ENSG00000158747
HUMAN00400	ENSG00000158748
HUMAN00401	ENSG00000162542
HUMAN00402	ENSG00000178828
HUMAN00403	ENSG00000169914
HUMAN00404	ENSG00000188784
HUMAN00405	ENSG00000188257
HUMAN00406	ENSG00000127472
HUMAN00407	ENSG00000117215
HUMAN00408	ENSG00000158786
HUMAN00409	ENSG00000187980
HUMAN00411	ENSG00000162543
HUMAN00412	ENSG00000158816
HUMAN00415	ENSG00000162545
HUMAN00416	ENSG00000090432
HUMAN00417	ENSG00000183114
HUMAN00418	ENSG00000158825
HUMAN00419	ENSG00000158828
HUMAN00420	ENSG00000244038
HUMAN00421	ENSG00000117245
HUMAN00422	ENSG00000189410
HUMAN00424	ENSG00000127483
HUMAN00426	ENSG00000075151
HUMAN00428	ENSG00000117298
HUMAN00430	ENSG00000142794
HUMAN00432	ENSG00000162551
HUMAN00433	ENSG00000076864
HUMAN00434	ENSG00000090686
HUMAN00435	ENSG00000187942
HUMAN00436	ENSG00000142798
HUMAN00439	ENSG00000219073
HUMAN00441	ENSG00000142789
HUMAN00443	ENSG00000070831
HUMAN00444	ENSG00000162552
HUMAN00446	ENSG00000184677
HUMAN00448	ENSG00000070886
HUMAN00449	ENSG00000173372
HUMAN00450	ENSG00000159189
HUMAN00451	ENSG00000173369
HUMAN00452	ENSG00000133216
HUMAN00453	ENSG00000215906
HUMAN00454	ENSG00000227868
HUMAN00455	ENSG00000004487
HUMAN00456	ENSG00000169641
HUMAN00457	ENSG00000179546
HUMAN00458	ENSG00000125944
HUMAN00459	ENSG00000125945
HUMAN00460	ENSG00000204219
HUMAN00461	ENSG00000088280
HUMAN00463	ENSG00000007968
HUMAN00464	ENSG00000117318
HUMAN00465	ENSG00000197880
HUMAN00466	ENSG00000142676
HUMAN00467	ENSG00000011007
HUMAN00468	ENSG00000057757
HUMAN00469	ENSG00000011009
HUMAN00471	ENSG00000117308
HUMAN00472	ENSG00000117305
HUMAN00474	ENSG00000179163
HUMAN00475	ENSG00000188822
HUMAN00476	ENSG00000189266
HUMAN00479	ENSG00000188529
HUMAN00482	ENSG00000142661
HUMAN00483	ENSG00000142677
HUMAN00484	ENSG00000185436
HUMAN00486	ENSG00000158055
HUMAN00488	ENSG00000001460
HUMAN00490	ENSG00000001461
HUMAN00492	ENSG00000117602
HUMAN00493	ENSG00000184454
HUMAN00494	ENSG00000133226
HUMAN00495	ENSG00000169504
HUMAN00496	ENSG00000020633
HUMAN00497	ENSG00000117614
HUMAN00498	ENSG00000117616
HUMAN00499	ENSG00000187010
HUMAN00501	ENSG00000183726
HUMAN00502	ENSG00000188672
HUMAN00503	ENSG00000204178
HUMAN00504	ENSG00000157978
HUMAN00505	ENSG00000117643
HUMAN00506	ENSG00000162430
HUMAN00507	ENSG00000117640
HUMAN00510	ENSG00000127423
HUMAN00511	ENSG00000182749
HUMAN00513	ENSG00000117632
HUMAN00514	ENSG00000158006
HUMAN00515	ENSG00000158008
HUMAN00516	ENSG00000158014
HUMAN00517	ENSG00000158022
HUMAN00518	ENSG00000175087
HUMAN00519	ENSG00000197245
HUMAN00520	ENSG00000282872
HUMAN00522	ENSG00000236782
HUMAN00523	ENSG00000142684
HUMAN00524	ENSG00000142675
HUMAN00525	ENSG00000188782
HUMAN00526	ENSG00000130695
HUMAN00527	ENSG00000142669
HUMAN00529	ENSG00000158062
HUMAN00530	ENSG00000169442
HUMAN00531	ENSG00000176092
HUMAN00532	ENSG00000176083
HUMAN00533	ENSG00000131914
HUMAN00536	ENSG00000117682
HUMAN00538	ENSG00000198830
HUMAN00543	ENSG00000117676
HUMAN00545	ENSG00000117713
HUMAN00547	ENSG00000060642
HUMAN00548	ENSG00000204160
HUMAN00549	ENSG00000175793
HUMAN00550	ENSG00000142751
HUMAN00552	ENSG00000198746
HUMAN00554	ENSG00000090273
HUMAN00555	ENSG00000131910
HUMAN00556	ENSG00000175707
HUMAN00557	ENSG00000253368
HUMAN00558	ENSG00000158246
HUMAN00559	ENSG00000280403
HUMAN00561	ENSG00000090020
HUMAN00562	ENSG00000142784
HUMAN00566	ENSG00000186501
HUMAN00567	ENSG00000142765
HUMAN00568	ENSG00000142733
HUMAN00569	ENSG00000142748
HUMAN00570	ENSG00000174950
HUMAN00571	ENSG00000181773
HUMAN00572	ENSG00000158195
HUMAN00573	ENSG00000126705
HUMAN00574	ENSG00000000938
HUMAN00575	ENSG00000126709
HUMAN00576	ENSG00000009780
HUMAN00578	ENSG00000117758
HUMAN00580	ENSG00000117751
HUMAN00581	ENSG00000278868
HUMAN00582	ENSG00000130775
HUMAN00583	ENSG00000117748
HUMAN00584	ENSG00000130768
HUMAN00588	ENSG00000158156
HUMAN00589	ENSG00000158161
HUMAN00590	ENSG00000169403
HUMAN00592	ENSG00000126698
HUMAN00594	ENSG00000130770
HUMAN00596	ENSG00000130766
HUMAN00597	ENSG00000130772
HUMAN00600	ENSG00000204138
HUMAN00602	ENSG00000180198
HUMAN00604	ENSG00000180098
HUMAN00605	ENSG00000120656
HUMAN00606	ENSG00000188060
HUMAN00607	ENSG00000162419
HUMAN00608	ENSG00000198492
HUMAN00609	ENSG00000116329
HUMAN00610	ENSG00000159023
HUMAN00612	ENSG00000253304
HUMAN00613	ENSG00000116350
HUMAN00616	ENSG00000116353
HUMAN00618	ENSG00000060656
HUMAN00619	ENSG00000162510
HUMAN00620	ENSG00000162511
HUMAN00621	ENSG00000162512
HUMAN00622	ENSG00000134644
HUMAN00624	ENSG00000084628
HUMAN00625	ENSG00000060688
HUMAN00630	ENSG00000121766
HUMAN00631	ENSG00000121769
HUMAN00632	ENSG00000168528
HUMAN00633	ENSG00000142910
HUMAN00634	ENSG00000121764
HUMAN00635	ENSG00000162517
HUMAN00636	ENSG00000084636
HUMAN00637	ENSG00000121753
HUMAN00638	ENSG00000134668
HUMAN00640	ENSG00000184007
HUMAN00642	ENSG00000121774
HUMAN00643	ENSG00000121775
HUMAN00644	ENSG00000025800
HUMAN00645	ENSG00000084652
HUMAN00647	ENSG00000160050
HUMAN00648	ENSG00000160051
HUMAN00649	ENSG00000222046
HUMAN00651	ENSG00000160055
HUMAN00654	ENSG00000084623
HUMAN00655	ENSG00000183615
HUMAN00659	ENSG00000182866
HUMAN00660	ENSG00000116478
HUMAN00661	ENSG00000175130
HUMAN00662	ENSG00000162526
HUMAN00663	ENSG00000225828
HUMAN00665	ENSG00000160058
HUMAN00666	ENSG00000254553
HUMAN00667	ENSG00000160062
HUMAN00669	ENSG00000176261
HUMAN00674	ENSG00000162521
HUMAN00676	ENSG00000162520
HUMAN00677	ENSG00000162522
HUMAN00679	ENSG00000134684
HUMAN00680	ENSG00000116497
HUMAN00681	ENSG00000160097
HUMAN00683	ENSG00000121905
HUMAN00684	ENSG00000121900
HUMAN00685	ENSG00000116514
HUMAN00686	ENSG00000004455
HUMAN00689	ENSG00000142920
HUMAN00690	ENSG00000116525
HUMAN00691	ENSG00000160094
HUMAN00692	ENSG00000184389
HUMAN00693	ENSG00000134686
HUMAN00694	ENSG00000121903
HUMAN00695	ENSG00000121904
HUMAN00697	ENSG00000176256
HUMAN00698	ENSG00000142698
HUMAN00699	ENSG00000163866
HUMAN00700	ENSG00000189280
HUMAN00701	ENSG00000189433
HUMAN00702	ENSG00000188910
HUMAN00703	ENSG00000187513
HUMAN00704	ENSG00000116544
HUMAN00705	ENSG00000243749
HUMAN00706	ENSG00000163867
HUMAN00708	ENSG00000197056
HUMAN00709	ENSG00000116560
HUMAN00710	ENSG00000146463
HUMAN00711	ENSG00000142687
HUMAN00712	ENSG00000020129
HUMAN00713	ENSG00000116819
HUMAN00714	ENSG00000126067
HUMAN00715	ENSG00000142686
HUMAN00716	ENSG00000092853
HUMAN00717	ENSG00000134698
HUMAN00718	ENSG00000092847
HUMAN00720	ENSG00000126070
HUMAN00721	ENSG00000092850
HUMAN00723	ENSG00000116863
HUMAN00724	ENSG00000171812
HUMAN00725	ENSG00000054116
HUMAN00727	ENSG00000116871
HUMAN00728	ENSG00000054118
HUMAN00729	ENSG00000214193
HUMAN00730	ENSG00000142694
HUMAN00731	ENSG00000196182
HUMAN00733	ENSG00000181817
HUMAN00735	ENSG00000116885
HUMAN00738	ENSG00000116898
HUMAN00739	ENSG00000119535
HUMAN00740	ENSG00000163873
HUMAN00741	ENSG00000163874
HUMAN00743	ENSG00000163875
HUMAN00744	ENSG00000163877
HUMAN00745	ENSG00000163879
HUMAN00746	ENSG00000134697
HUMAN00748	ENSG00000169218
HUMAN00749	ENSG00000116922
HUMAN00750	ENSG00000134690
HUMAN00752	ENSG00000183317
HUMAN00753	ENSG00000185090
HUMAN00754	ENSG00000196449
HUMAN00755	ENSG00000197982
HUMAN00756	ENSG00000188786
HUMAN00757	ENSG00000204084
HUMAN00759	ENSG00000183431
HUMAN00760	ENSG00000183386
HUMAN00761	ENSG00000183520
HUMAN00762	ENSG00000185668
HUMAN00763	ENSG00000116954
HUMAN00765	ENSG00000274944
HUMAN00766	ENSG00000131233
HUMAN00767	ENSG00000158315
HUMAN00768	ENSG00000174574
HUMAN00769	ENSG00000168653
HUMAN00773	ENSG00000127603
HUMAN00776	ENSG00000183682
HUMAN00777	ENSG00000090621
HUMAN00779	ENSG00000163909
HUMAN00780	ENSG00000116981
HUMAN00781	ENSG00000116983
HUMAN00782	ENSG00000084072
HUMAN00783	ENSG00000116985
HUMAN00784	ENSG00000198754
HUMAN00785	ENSG00000043514
HUMAN00787	ENSG00000116990
HUMAN00789	ENSG00000168389
HUMAN00790	ENSG00000131236
HUMAN00791	ENSG00000131238
HUMAN00793	ENSG00000117000
HUMAN00794	ENSG00000188800
HUMAN00795	ENSG00000084073
HUMAN00796	ENSG00000049089
HUMAN00798	ENSG00000084070
HUMAN00799	ENSG00000187801
HUMAN00800	ENSG00000187815
HUMAN00801	ENSG00000164002
HUMAN00802	ENSG00000117010
HUMAN00804	ENSG00000117016
HUMAN00806	ENSG00000066136
HUMAN00808	ENSG00000117013
HUMAN00809	ENSG00000179862
HUMAN00810	ENSG00000171793
HUMAN00811	ENSG00000171790
HUMAN00812	ENSG00000010803
HUMAN00813	ENSG00000204060
HUMAN00814	ENSG00000127129
HUMAN00815	ENSG00000127124
HUMAN00816	ENSG00000044012
HUMAN00817	ENSG00000197273
HUMAN00818	ENSG00000198815
HUMAN00820	ENSG00000177181
HUMAN00821	ENSG00000066185
HUMAN00822	ENSG00000127125
HUMAN00823	ENSG00000186409
HUMAN00825	ENSG00000171960
HUMAN00828	ENSG00000065978
HUMAN00830	ENSG00000164007
HUMAN00832	ENSG00000117385
HUMAN00834	ENSG00000164008
HUMAN00836	ENSG00000274386
HUMAN00837	ENSG00000177868
HUMAN00838	ENSG00000164010
HUMAN00839	ENSG00000164011
HUMAN00841	ENSG00000117394
HUMAN00844	ENSG00000186973
HUMAN00845	ENSG00000117395
HUMAN00846	ENSG00000243710
HUMAN00848	ENSG00000179178
HUMAN00849	ENSG00000253313
HUMAN00850	ENSG00000066056
HUMAN00851	ENSG00000117400
HUMAN00852	ENSG00000117399
HUMAN00853	ENSG00000066322
HUMAN00854	ENSG00000159479
HUMAN00855	ENSG00000198198
HUMAN00857	ENSG00000178922
HUMAN00858	ENSG00000142949
HUMAN00860	ENSG00000066135
HUMAN00861	ENSG00000126091
HUMAN00867	ENSG00000117407
HUMAN00868	ENSG00000117408
HUMAN00870	ENSG00000132768
HUMAN00873	ENSG00000117410
HUMAN00876	ENSG00000117411
HUMAN00878	ENSG00000159214
HUMAN00881	ENSG00000196517
HUMAN00883	ENSG00000171872
HUMAN00884	ENSG00000283039
HUMAN00885	ENSG00000178028
HUMAN00887	ENSG00000117419
HUMAN00890	ENSG00000187147
HUMAN00894	ENSG00000126106
HUMAN00895	ENSG00000198520
HUMAN00896	ENSG00000142945
HUMAN00898	ENSG00000142937
HUMAN00899	ENSG00000142959
HUMAN00900	ENSG00000173846
HUMAN00901	ENSG00000188396
HUMAN00902	ENSG00000222009
HUMAN00905	ENSG00000117425
HUMAN00906	ENSG00000070785
HUMAN00908	ENSG00000126107
HUMAN00909	ENSG00000126088
HUMAN00910	ENSG00000162415
HUMAN00911	ENSG00000186603
HUMAN00912	ENSG00000132781
HUMAN00914	ENSG00000132773
HUMAN00915	ENSG00000070759
HUMAN00916	ENSG00000280670
HUMAN00917	ENSG00000132763
HUMAN00918	ENSG00000117450
HUMAN00919	ENSG00000117448
HUMAN00922	ENSG00000132780
HUMAN00923	ENSG00000159588
HUMAN00924	ENSG00000159592
HUMAN00925	ENSG00000159596
HUMAN00926	ENSG00000197429
HUMAN00927	ENSG00000086015
HUMAN00928	ENSG00000117461
HUMAN00929	ENSG00000278139
HUMAN00930	ENSG00000117472
HUMAN00931	ENSG00000250719
HUMAN00932	ENSG00000085998
HUMAN00933	ENSG00000171357
HUMAN00934	ENSG00000085999
HUMAN00936	ENSG00000132128
HUMAN00937	ENSG00000173660
HUMAN00942	ENSG00000117481
HUMAN00943	ENSG00000117480
HUMAN00944	ENSG00000197587
HUMAN00945	ENSG00000282881
HUMAN00946	ENSG00000162456
HUMAN00947	ENSG00000079277
HUMAN00952	ENSG00000142961
HUMAN00953	ENSG00000123472
HUMAN00956	ENSG00000186118
HUMAN00957	ENSG00000159658
HUMAN00959	ENSG00000142973
HUMAN00961	ENSG00000187048
HUMAN00962	ENSG00000186377
HUMAN00963	ENSG00000186160
HUMAN00964	ENSG00000162365
HUMAN00965	ENSG00000162366
HUMAN00966	ENSG00000162367
HUMAN00967	ENSG00000123473
HUMAN00969	ENSG00000162368
HUMAN00970	ENSG00000186790
HUMAN00971	ENSG00000186564
HUMAN00972	ENSG00000269113
HUMAN00974	ENSG00000117834
HUMAN00976	ENSG00000132122
HUMAN00978	ENSG00000186094
HUMAN00980	ENSG00000162373
HUMAN00981	ENSG00000162374
HUMAN00982	ENSG00000142700
HUMAN00983	ENSG00000185104
HUMAN00984	ENSG00000123080
HUMAN00985	ENSG00000204006
HUMAN00986	ENSG00000123091
HUMAN00987	ENSG00000085831
HUMAN00990	ENSG00000085832
HUMAN00992	ENSG00000117859
HUMAN00998	ENSG00000078618
HUMAN00999	ENSG00000169213
HUMAN01000	ENSG00000117862
HUMAN01001	ENSG00000198841
HUMAN01002	ENSG00000134717
HUMAN01004	ENSG00000157077
HUMAN01005	ENSG00000154222
HUMAN01006	ENSG00000085840
HUMAN01007	ENSG00000134748
HUMAN01009	ENSG00000134744
HUMAN01011	ENSG00000116157
HUMAN01012	ENSG00000182183
HUMAN01013	ENSG00000162377
HUMAN01014	ENSG00000162378
HUMAN01015	ENSG00000203995
HUMAN01016	ENSG00000121310
HUMAN01020	ENSG00000116171
HUMAN01022	ENSG00000174348
HUMAN01023	ENSG00000162383
HUMAN01024	ENSG00000157184
HUMAN01026	ENSG00000162384
HUMAN01027	ENSG00000162385
HUMAN01028	ENSG00000157193
HUMAN01030	ENSG00000143006
HUMAN01031	ENSG00000174332
HUMAN01032	ENSG00000058804
HUMAN01033	ENSG00000058799
HUMAN01034	ENSG00000211452
HUMAN01036	ENSG00000081870
HUMAN01037	ENSG00000116212
HUMAN01038	ENSG00000203985
HUMAN01040	ENSG00000116209
HUMAN01043	ENSG00000116205
HUMAN01045	ENSG00000157211
HUMAN01046	ENSG00000215883
HUMAN01049	ENSG00000116221
HUMAN01051	ENSG00000157216
HUMAN01053	ENSG00000162390
HUMAN01054	ENSG00000162391
HUMAN01055	ENSG00000271723
HUMAN01056	ENSG00000243725
HUMAN01057	ENSG00000162396
HUMAN01058	ENSG00000006555
HUMAN01060	ENSG00000162398
HUMAN01061	ENSG00000116133
HUMAN01062	ENSG00000143001
HUMAN01063	ENSG00000162399
HUMAN01064	ENSG00000169174
HUMAN01065	ENSG00000162402
HUMAN01068	ENSG00000162407
HUMAN01069	ENSG00000162409
HUMAN01070	ENSG00000187889
HUMAN01071	ENSG00000157131
HUMAN01072	ENSG00000021852
HUMAN01073	ENSG00000173406
HUMAN01074	ENSG00000162600
HUMAN01075	ENSG00000184292
HUMAN01076	ENSG00000162601
HUMAN01077	ENSG00000177606
HUMAN01078	ENSG00000172456
HUMAN01079	ENSG00000134709
HUMAN01080	ENSG00000134716
HUMAN01081	ENSG00000162598
HUMAN01082	ENSG00000162599
HUMAN01084	ENSG00000162604
HUMAN01087	ENSG00000132849
HUMAN01089	ENSG00000240563
HUMAN01090	ENSG00000132854
HUMAN01091	ENSG00000162607
HUMAN01092	ENSG00000116641
HUMAN01095	ENSG00000132855
HUMAN01096	ENSG00000125703
HUMAN01097	ENSG00000187140
HUMAN01099	ENSG00000088035
HUMAN01100	ENSG00000142856
HUMAN01101	ENSG00000203965
HUMAN01103	ENSG00000079739
HUMAN01104	ENSG00000185483
HUMAN01105	ENSG00000177414
HUMAN01106	ENSG00000158966
HUMAN01107	ENSG00000162437
HUMAN01108	ENSG00000162434
HUMAN01109	ENSG00000162433
HUMAN01110	ENSG00000116675
HUMAN01111	ENSG00000213625
HUMAN01112	ENSG00000116678
HUMAN01114	ENSG00000184588
HUMAN01116	ENSG00000118473
HUMAN01117	ENSG00000152760
HUMAN01118	ENSG00000172410
HUMAN01119	ENSG00000152763
HUMAN01124	ENSG00000198160
HUMAN01126	ENSG00000116704
HUMAN01128	ENSG00000203963
HUMAN01129	ENSG00000162594
HUMAN01131	ENSG00000081985
HUMAN01132	ENSG00000142864
HUMAN01133	ENSG00000116717
HUMAN01134	ENSG00000172380
HUMAN01135	ENSG00000162595
HUMAN01136	ENSG00000116729
HUMAN01138	ENSG00000116745
HUMAN01139	ENSG00000024526
HUMAN01140	ENSG00000033122
HUMAN01143	ENSG00000066557
HUMAN01146	ENSG00000116754
HUMAN01147	ENSG00000118454
HUMAN01148	ENSG00000197568
HUMAN01152	ENSG00000116761
HUMAN01154	ENSG00000050628
HUMAN01156	ENSG00000132485
HUMAN01157	ENSG00000172260
HUMAN01158	ENSG00000162620
HUMAN01160	ENSG00000254685
HUMAN01164	ENSG00000259030
HUMAN01165	ENSG00000116783
HUMAN01166	ENSG00000162621
HUMAN01167	ENSG00000178965
HUMAN01169	ENSG00000116791
HUMAN01170	ENSG00000162623
HUMAN01171	ENSG00000162624
HUMAN01172	ENSG00000137968
HUMAN01173	ENSG00000117054
HUMAN01175	ENSG00000137955
HUMAN01176	ENSG00000057468
HUMAN01177	ENSG00000154007
HUMAN01178	ENSG00000184005
HUMAN01179	ENSG00000117069
HUMAN01180	ENSG00000142892
HUMAN01181	ENSG00000154027
HUMAN01182	ENSG00000036549
HUMAN01183	ENSG00000077254
HUMAN01184	ENSG00000180488
HUMAN01185	ENSG00000162614
HUMAN01186	ENSG00000162613
HUMAN01187	ENSG00000162616
HUMAN01188	ENSG00000137960
HUMAN01189	ENSG00000122420
HUMAN01191	ENSG00000137959
HUMAN01192	ENSG00000137965
HUMAN01194	ENSG00000162618
HUMAN01195	ENSG00000117114
HUMAN01196	ENSG00000137941
HUMAN01197	ENSG00000142875
HUMAN01199	ENSG00000203943
HUMAN01201	ENSG00000137976
HUMAN01202	ENSG00000117133
