ENSAPOT00000015153	XM_022192334
ENSAPOT00000015030	XM_022209508
ENSAPOT00000015051	XM_022209509
ENSAPOT00000015078	XM_022209504
ENSAPOT00000015078	XM_022209505
ENSAPOT00000015078	XM_022209510
ENSAPOT00000015084	XM_022198432
ENSAPOT00000015084	XM_022198433
ENSAPOT00000015097	XM_022209506
ENSAPOT00000015843	XM_022211046
ENSAPOT00000015843	XM_022211047
ENSAPOT00000016185	XM_022192727
ENSAPOT00000016185	XM_022192733
ENSAPOT00000016192	XM_022192719
ENSAPOT00000017437	XM_022192396
ENSAPOT00000031345	XM_022206746
ENSAPOT00000006393	XM_022207682
ENSAPOT00000008762	XM_022197458
ENSAPOT00000014827	XM_022209701
ENSAPOT00000015003	XM_022215159
ENSAPOT00000015911	XM_022211058
ENSAPOT00000015924	XM_022211056
ENSAPOT00000015935	XM_022211057
ENSAPOT00000016584	XM_022198505
ENSAPOT00000016584	XM_022198506
ENSAPOT00000016745	XM_022199370
ENSAPOT00000016758	XM_022199374
ENSAPOT00000016777	XM_022199368
ENSAPOT00000016777	XM_022199369
ENSAPOT00000016777	XM_022199371
ENSAPOT00000016777	XM_022199372
ENSAPOT00000016777	XM_022199373
ENSAPOT00000011269	XM_022212670
ENSAPOT00000011269	XM_022212671
ENSAPOT00000014948	XM_022200199
ENSAPOT00000016647	XM_022218025
ENSAPOT00000017035	XM_022199389
ENSAPOT00000020951	XM_022192798
ENSAPOT00000033436	XM_022194434
ENSAPOT00000001613	XM_022212425
ENSAPOT00000001613	XM_022212426
ENSAPOT00000001631	XM_022212427
ENSAPOT00000001631	XM_022212428
ENSAPOT00000016950	XM_022217400
ENSAPOT00000029041	XM_022218288
ENSAPOT00000011821	XM_022215064
ENSAPOT00000011821	XM_022215065
ENSAPOT00000014273	XM_022209492
ENSAPOT00000014828	XM_022204522
ENSAPOT00000015024	XM_022192242
ENSAPOT00000016397	XM_022200253
ENSAPOT00000016955	XM_022192393
ENSAPOT00000016974	XM_022192395
ENSAPOT00000014247	XM_022197649
ENSAPOT00000014321	XM_022208678
ENSAPOT00000015089	XM_022192254
ENSAPOT00000016104	XM_022211070
ENSAPOT00000016104	XM_022211071
ENSAPOT00000016377	XM_022203759
ENSAPOT00000016377	XM_022203760
ENSAPOT00000016377	XM_022203761
ENSAPOT00000017478	XM_022199434
ENSAPOT00000017584	XM_022192456
ENSAPOT00000033798	XM_022206223
ENSAPOT00000033798	XM_022206300
ENSAPOT00000000954	XM_022200835
ENSAPOT00000014094	XM_022207876
ENSAPOT00000015903	XM_022217857
ENSAPOT00000015903	XM_022217864
ENSAPOT00000015903	XM_022217872
ENSAPOT00000017524	XM_022193420
ENSAPOT00000017524	XM_022193421
ENSAPOT00000017526	XM_022193422
ENSAPOT00000014242	XM_022210947
ENSAPOT00000016600	XM_022195889
ENSAPOT00000017263	XM_022205466
ENSAPOT00000017263	XM_022205468
ENSAPOT00000014292	XM_022189753
ENSAPOT00000014339	XM_022218872
ENSAPOT00000014339	XM_022218873
ENSAPOT00000014355	XM_022218874
ENSAPOT00000015355	XM_022200802
ENSAPOT00000015355	XM_022200811
ENSAPOT00000015355	XM_022200820
ENSAPOT00000015482	XM_022209920
ENSAPOT00000015482	XM_022209929
ENSAPOT00000015514	XM_022209939
ENSAPOT00000015530	XM_022209904
ENSAPOT00000015539	XM_022209912
ENSAPOT00000017050	XM_022211138
ENSAPOT00000017050	XM_022211139
ENSAPOT00000017050	XM_022211140
ENSAPOT00000017296	XM_022218994
ENSAPOT00000017442	XM_022217428
ENSAPOT00000017445	XM_022217429
ENSAPOT00000017445	XM_022217430
ENSAPOT00000015576	XM_022209951
ENSAPOT00000016000	XM_022204557
ENSAPOT00000016074	XM_022221165
ENSAPOT00000016074	XM_022221166
ENSAPOT00000023262	XM_022216235
ENSAPOT00000015797	XM_022217367
ENSAPOT00000015959	XM_022221962
ENSAPOT00000017385	XM_022217442
ENSAPOT00000004197	XM_022204277
ENSAPOT00000015497	XM_022206299
ENSAPOT00000015854	XM_022218916
ENSAPOT00000015854	XM_022218917
ENSAPOT00000015876	XM_022195849
ENSAPOT00000015876	XM_022195850
ENSAPOT00000015876	XM_022195851
ENSAPOT00000015876	XM_022195852
ENSAPOT00000016240	XM_022201084
ENSAPOT00000016503	XM_022221997
ENSAPOT00000017163	XM_022205454
ENSAPOT00000017069	XM_022211136
ENSAPOT00000017377	XM_022199421
ENSAPOT00000023238	XM_022206570
ENSAPOT00000023247	XM_022206569
ENSAPOT00000010215	XM_022211903
ENSAPOT00000013010	XM_022221070
ENSAPOT00000013010	XM_022221071
ENSAPOT00000013010	XM_022221072
ENSAPOT00000013022	XM_022221068
ENSAPOT00000013022	XM_022221069
ENSAPOT00000010173	XM_022204391
ENSAPOT00000011420	XM_022216638
ENSAPOT00000011433	XM_022201814
ENSAPOT00000011433	XM_022201815
ENSAPOT00000011433	XM_022201816
ENSAPOT00000011433	XM_022201817
ENSAPOT00000011433	XM_022201820
ENSAPOT00000011444	XM_022201818
ENSAPOT00000011444	XM_022201819
ENSAPOT00000009500	XM_022222627
ENSAPOT00000009510	XM_022198310
ENSAPOT00000009519	XM_022198311
ENSAPOT00000009894	XM_022202825
ENSAPOT00000010323	XM_022200110
ENSAPOT00000012521	XM_022218139
ENSAPOT00000012521	XM_022218140
ENSAPOT00000012521	XM_022218141
ENSAPOT00000012521	XM_022218142
ENSAPOT00000012643	XM_022209449
ENSAPOT00000012661	XM_022209450
ENSAPOT00000012714	XM_022192276
ENSAPOT00000013871	XM_022210960
ENSAPOT00000010274	XM_022191487
ENSAPOT00000010274	XM_022191488
ENSAPOT00000010498	XM_022206123
ENSAPOT00000010498	XM_022206125
ENSAPOT00000011682	XM_022201026
ENSAPOT00000012089	XM_022210294
ENSAPOT00000012130	XM_022213559
ENSAPOT00000012814	XM_022203628
ENSAPOT00000013183	XM_022192286
ENSAPOT00000013183	XM_022192287
ENSAPOT00000013183	XM_022192288
ENSAPOT00000009001	XM_022193069
ENSAPOT00000009873	XM_022216222
ENSAPOT00000009873	XM_022216230
ENSAPOT00000010457	XM_022216388
ENSAPOT00000010457	XM_022216397
ENSAPOT00000011785	XM_022205266
ENSAPOT00000009588	XM_022205211
ENSAPOT00000009797	XM_022220993
ENSAPOT00000010150	XM_022197520
ENSAPOT00000010474	XM_022204405
ENSAPOT00000013219	XM_022203635
ENSAPOT00000013219	XM_022203636
ENSAPOT00000013219	XR_002596123
ENSAPOT00000009655	XM_022214285
ENSAPOT00000009655	XM_022214286
ENSAPOT00000009655	XM_022214287
ENSAPOT00000009655	XM_022214288
ENSAPOT00000009655	XM_022214289
ENSAPOT00000013076	XM_022215899
ENSAPOT00000009746	XM_022200086
ENSAPOT00000009763	XM_022200087
ENSAPOT00000009763	XM_022200088
ENSAPOT00000009793	XM_022216190
ENSAPOT00000009793	XM_022216211
ENSAPOT00000009834	XM_022216201
ENSAPOT00000010707	XM_022216616
ENSAPOT00000011714	XM_022201027
ENSAPOT00000011730	XM_022201029
ENSAPOT00000012417	XM_022215876
ENSAPOT00000012436	XM_022215877
ENSAPOT00000012436	XM_022215880
ENSAPOT00000012462	XM_022215879
ENSAPOT00000013687	XM_022218181
ENSAPOT00000009321	XM_022190617
ENSAPOT00000009151	XM_022215806
ENSAPOT00000009385	XM_022212636
ENSAPOT00000011052	XM_022197549
ENSAPOT00000011052	XM_022197550
ENSAPOT00000011052	XM_022197551
ENSAPOT00000011052	XM_022197552
ENSAPOT00000011052	XM_022197553
ENSAPOT00000011550	XM_022210924
ENSAPOT00000011999	XM_022199267
ENSAPOT00000012016	XM_022199266
ENSAPOT00000012016	XM_022199271
ENSAPOT00000012032	XM_022199268
ENSAPOT00000012032	XM_022199269
ENSAPOT00000010291	XM_022209395
ENSAPOT00000010936	XM_022209415
ENSAPOT00000010946	XM_022194187
ENSAPOT00000011126	XM_022222654
ENSAPOT00000013372	XM_022204482
ENSAPOT00000013738	XM_022187281
ENSAPOT00000013922	XM_022193203
ENSAPOT00000010189	XM_022207816
ENSAPOT00000011924	XM_022196728
ENSAPOT00000013302	XM_022222723
ENSAPOT00000013302	XM_022222724
ENSAPOT00000013478	XM_022222736
ENSAPOT00000009048	XM_022220277
ENSAPOT00000010429	XM_022199294
ENSAPOT00000013790	XM_022207874
ENSAPOT00000013930	XM_022192295
ENSAPOT00000013959	XM_022192296
ENSAPOT00000010583	XM_022187485
ENSAPOT00000010583	XM_022187491
ENSAPOT00000011267	XM_022215857
ENSAPOT00000012997	XM_022215904
ENSAPOT00000013054	XM_022212009
ENSAPOT00000013146	XM_022221075
ENSAPOT00000013630	XM_022195797
ENSAPOT00000013727	XM_022195005
ENSAPOT00000013727	XM_022195006
ENSAPOT00000013727	XM_022195007
ENSAPOT00000013727	XM_022195008
ENSAPOT00000008929	XM_022214995
ENSAPOT00000009553	XM_022219601
ENSAPOT00000010589	XM_022207786
ENSAPOT00000012582	XM_022222700
ENSAPOT00000012582	XM_022222701
ENSAPOT00000012582	XM_022222702
ENSAPOT00000012582	XM_022222703
ENSAPOT00000012595	XM_022222699
ENSAPOT00000012595	XM_022222704
ENSAPOT00000013311	XM_022215103
ENSAPOT00000009064	XM_022210841
ENSAPOT00000009774	XM_022190567
ENSAPOT00000010650	XM_022209403
ENSAPOT00000010650	XM_022209404
ENSAPOT00000010665	XM_022209405
ENSAPOT00000011557	XM_022216809
ENSAPOT00000013471	XM_022213595
ENSAPOT00000013628	XM_022215104
ENSAPOT00000010037	XM_022205219
ENSAPOT00000010175	XM_022216295
ENSAPOT00000010175	XM_022216302
ENSAPOT00000010175	XM_022216310
ENSAPOT00000010645	XM_022200116
ENSAPOT00000011375	XM_022196708
ENSAPOT00000011375	XM_022196709
ENSAPOT00000011987	XM_022190614
ENSAPOT00000011998	XM_022190613
ENSAPOT00000012116	XM_022209433
ENSAPOT00000012413	XM_022216651
ENSAPOT00000009575	XM_022219605
ENSAPOT00000011115	XM_022214320
ENSAPOT00000011715	XM_022189682
ENSAPOT00000011978	XM_022214344
ENSAPOT00000012651	XM_022210327
ENSAPOT00000012651	XM_022210328
ENSAPOT00000012651	XM_022210329
ENSAPOT00000012651	XM_022210330
ENSAPOT00000013425	XM_022209470
ENSAPOT00000008925	XM_022208569
ENSAPOT00000010635	XM_022215823
ENSAPOT00000010635	XM_022215824
ENSAPOT00000010635	XM_022215825
ENSAPOT00000010635	XM_022215826
ENSAPOT00000010635	XM_022215827
ENSAPOT00000010635	XM_022215828
ENSAPOT00000011226	XM_022200128
ENSAPOT00000013051	XM_022210334
ENSAPOT00000012441	XM_022217012
ENSAPOT00000010040	XM_022214298
ENSAPOT00000011301	XM_022207063
ENSAPOT00000012488	XM_022199867
ENSAPOT00000012488	XM_022199875
ENSAPOT00000012488	XM_022199884
ENSAPOT00000012488	XM_022199892
ENSAPOT00000012488	XM_022199901
ENSAPOT00000012507	XM_022199908
ENSAPOT00000012537	XM_022199915
ENSAPOT00000012569	XM_022199925
ENSAPOT00000012952	XM_022210937
ENSAPOT00000010904	XM_022206130
ENSAPOT00000011496	XM_022205250
ENSAPOT00000012671	XM_022221056
ENSAPOT00000012831	XM_022211989
ENSAPOT00000013720	XM_022205325
ENSAPOT00000013842	XM_022195799
ENSAPOT00000008945	XM_022207761
ENSAPOT00000009308	XM_022209375
ENSAPOT00000009384	XM_022209378
ENSAPOT00000009424	XM_022209376
ENSAPOT00000010978	XM_022200119
ENSAPOT00000010978	XM_022200120
ENSAPOT00000011133	XM_022212650
ENSAPOT00000011133	XM_022212651
ENSAPOT00000012711	XM_022199969
ENSAPOT00000012711	XM_022199978
ENSAPOT00000012725	XM_022199987
ENSAPOT00000012741	XM_022199996
ENSAPOT00000012816	XM_022220351
ENSAPOT00000013693	XM_022188140
ENSAPOT00000009040	XM_022194867
ENSAPOT00000009176	XM_022221813
ENSAPOT00000010201	XM_022203549
ENSAPOT00000010227	XM_022203550
ENSAPOT00000010870	XM_022203577
ENSAPOT00000011380	XM_022212665
ENSAPOT00000013542	XM_022204489
ENSAPOT00000003933	XM_022205995
ENSAPOT00000004569	XM_022223220
ENSAPOT00000004835	XM_022201628
ENSAPOT00000004905	XM_022196553
ENSAPOT00000004943	XM_022196552
ENSAPOT00000005038	XM_022219512
ENSAPOT00000005038	XM_022219513
ENSAPOT00000005038	XM_022219514
ENSAPOT00000003745	XM_022191290
ENSAPOT00000003745	XM_022191291
ENSAPOT00000004811	XM_022201626
ENSAPOT00000006709	XM_022219552
ENSAPOT00000007736	XM_022198710
ENSAPOT00000004154	XM_022199952
ENSAPOT00000004690	XM_022211726
ENSAPOT00000004690	XM_022211727
ENSAPOT00000004690	XM_022211728
ENSAPOT00000005942	XM_022197396
ENSAPOT00000007233	XM_022221758
ENSAPOT00000007645	XM_022210177
ENSAPOT00000008063	XM_022220958
ENSAPOT00000008081	XM_022192162
ENSAPOT00000008081	XM_022192163
ENSAPOT00000008081	XM_022192164
ENSAPOT00000008102	XM_022192165
ENSAPOT00000008371	XM_022210829
ENSAPOT00000006286	XM_022191349
ENSAPOT00000006301	XM_022191347
ENSAPOT00000007835	XM_022197445
ENSAPOT00000008522	XM_022220268
ENSAPOT00000004994	XM_022197353
ENSAPOT00000005938	XM_022217994
ENSAPOT00000004969	XM_022219510
ENSAPOT00000005825	XM_022209314
ENSAPOT00000005838	XM_022209315
ENSAPOT00000006695	XM_022216514
ENSAPOT00000004010	XM_022212485
ENSAPOT00000004776	XM_022199958
ENSAPOT00000005615	XM_022213377
ENSAPOT00000007604	XM_022214955
ENSAPOT00000007615	XM_022214956
ENSAPOT00000008295	XM_022211856
ENSAPOT00000008424	XM_022216553
ENSAPOT00000004861	XM_022189856
ENSAPOT00000005103	XM_022196556
ENSAPOT00000005576	XM_022189946
ENSAPOT00000005576	XM_022189954
ENSAPOT00000005576	XM_022189963
ENSAPOT00000005576	XM_022189971
ENSAPOT00000006080	XM_022205151
ENSAPOT00000007573	XM_022208556
ENSAPOT00000008305	XM_022218056
ENSAPOT00000005397	XM_022189934
ENSAPOT00000006297	XM_022219544
ENSAPOT00000008730	XM_022186844
ENSAPOT00000005207	XM_022189535
ENSAPOT00000005372	XM_022208485
ENSAPOT00000005372	XM_022208487
ENSAPOT00000006574	XM_022190509
ENSAPOT00000007601	XM_022210176
ENSAPOT00000008392	XM_022204374
ENSAPOT00000008429	XM_022190390
ENSAPOT00000004801	XM_022212503
ENSAPOT00000006580	XM_022191365
ENSAPOT00000007042	XM_022212566
ENSAPOT00000007042	XM_022212567
ENSAPOT00000007937	XM_022208537
ENSAPOT00000007937	XM_022208546
ENSAPOT00000007937	XM_022208553
ENSAPOT00000005812	XM_022194088
ENSAPOT00000007446	XM_022214222
ENSAPOT00000007848	XM_022207728
ENSAPOT00000007963	XM_022208526
ENSAPOT00000008340	XM_022207744
ENSAPOT00000008340	XM_022207745
ENSAPOT00000004687	XM_022202681
ENSAPOT00000004687	XM_022202682
ENSAPOT00000005472	XM_022213373
ENSAPOT00000007239	XM_022207717
ENSAPOT00000008727	XM_022208587
ENSAPOT00000008727	XM_022208589
ENSAPOT00000004332	XM_022209270
ENSAPOT00000004332	XM_022209271
ENSAPOT00000004608	XM_022212510
ENSAPOT00000004627	XM_022212506
ENSAPOT00000004641	XM_022212505
ENSAPOT00000004641	XM_022212507
ENSAPOT00000004641	XM_022212508
ENSAPOT00000004641	XM_022212509
ENSAPOT00000004641	XM_022212512
ENSAPOT00000005651	XM_022208493
ENSAPOT00000006442	XM_022200014
ENSAPOT00000004070	XM_022194043
ENSAPOT00000004166	XM_022189448
ENSAPOT00000004166	XM_022189456
ENSAPOT00000005044	XM_022199963
ENSAPOT00000005044	XM_022199964
ENSAPOT00000007057	XM_022193014
ENSAPOT00000007780	XM_022199201
ENSAPOT00000005458	XM_022208488
ENSAPOT00000005648	XM_022192996
ENSAPOT00000007723	XM_022220256
ENSAPOT00000008345	XM_022195687
ENSAPOT00000008692	XM_022193057
ENSAPOT00000005170	XM_022192096
ENSAPOT00000005439	XM_022186780
ENSAPOT00000005562	XM_022199145
ENSAPOT00000006750	XM_022214178
ENSAPOT00000006750	XM_022214179
ENSAPOT00000006750	XM_022214180
ENSAPOT00000006750	XM_022214181
ENSAPOT00000006750	XM_022214182
ENSAPOT00000006750	XM_022214183
ENSAPOT00000008540	XM_022217231
ENSAPOT00000008540	XM_022217232
ENSAPOT00000008874	XM_022192209
ENSAPOT00000007402	XM_022211816
ENSAPOT00000003965	XM_022194040
ENSAPOT00000003981	XM_022194041
ENSAPOT00000004293	XM_022215653
ENSAPOT00000008399	XM_022218738
ENSAPOT00000003880	XM_022220195
ENSAPOT00000004443	XM_022211719
ENSAPOT00000005342	XM_022197374
ENSAPOT00000005342	XM_022197375
ENSAPOT00000005342	XM_022197377
ENSAPOT00000005364	XM_022197378
ENSAPOT00000005364	XM_022197379
ENSAPOT00000005960	XM_022202764
ENSAPOT00000006221	XM_022218706
ENSAPOT00000006323	XM_022198353
ENSAPOT00000006549	XM_022216508
ENSAPOT00000006595	XM_022192135
ENSAPOT00000006595	XM_022192136
ENSAPOT00000006595	XM_022192137
ENSAPOT00000007951	XM_022194114
ENSAPOT00000007962	XM_022194113
ENSAPOT00000004740	XM_022214894
ENSAPOT00000005017	XM_022199961
ENSAPOT00000005017	XM_022199962
ENSAPOT00000005142	XM_022192982
ENSAPOT00000005182	XM_022212519
ENSAPOT00000005182	XM_022212520
ENSAPOT00000007062	XM_022208547
ENSAPOT00000003988	XM_022199124
ENSAPOT00000006534	XM_022213400
ENSAPOT00000006534	XM_022213401
ENSAPOT00000008291	XM_022191392
ENSAPOT00000000055	XM_022209981
ENSAPOT00000002070	XM_022190401
ENSAPOT00000018400	XM_022215532
ENSAPOT00000018576	XM_022203241
ENSAPOT00000002253	XM_022210023
ENSAPOT00000002400	XM_022214093
ENSAPOT00000002922	XM_022201572
ENSAPOT00000003253	XM_022205972
ENSAPOT00000003546	XM_022221681
ENSAPOT00000000508	XM_022215590
ENSAPOT00000000573	XM_022213282
ENSAPOT00000000573	XM_022213283
ENSAPOT00000000573	XM_022213284
ENSAPOT00000000634	XM_022210689
ENSAPOT00000000634	XM_022210690
ENSAPOT00000001039	XM_022191214
ENSAPOT00000002133	XM_022201558
ENSAPOT00000002438	XM_022196488
ENSAPOT00000002995	XM_022209239
ENSAPOT00000003000	XM_022207622
ENSAPOT00000003000	XM_022207630
ENSAPOT00000003018	XM_022209240
ENSAPOT00000017646	XM_022191976
ENSAPOT00000017655	XM_022189425
ENSAPOT00000017687	XM_022204193
ENSAPOT00000000569	XM_022220823
ENSAPOT00000001271	XM_022196442
ENSAPOT00000001496	XM_022214834
ENSAPOT00000001677	XM_022214760
ENSAPOT00000002114	XM_022220142
ENSAPOT00000002237	XM_022198135
ENSAPOT00000017967	XM_022198099
ENSAPOT00000017967	XM_022198100
ENSAPOT00000018726	XM_022195462
ENSAPOT00000018726	XM_022195463
ENSAPOT00000018823	XM_022208324
ENSAPOT00000018832	XM_022207456
ENSAPOT00000018860	XM_022207455
ENSAPOT00000031252	XM_022220795
ENSAPOT00000018307	XM_022211571
ENSAPOT00000018613	XM_022190300
ENSAPOT00000018717	XM_022202570
ENSAPOT00000031502	XM_022220781
ENSAPOT00000000378	XM_022217895
ENSAPOT00000003055	XM_022203352
ENSAPOT00000003055	XM_022203353
ENSAPOT00000017767	XM_022189427
ENSAPOT00000000453	XM_022206803
ENSAPOT00000000553	XM_022209998
ENSAPOT00000002939	XM_022194008
ENSAPOT00000003455	XM_022198104
ENSAPOT00000003472	XM_022198113
ENSAPOT00000017899	XM_022191964
ENSAPOT00000017899	XM_022191966
ENSAPOT00000017915	XM_022191967
ENSAPOT00000031270	XM_022191965
ENSAPOT00000000893	XM_022220832
ENSAPOT00000000893	XM_022220834
ENSAPOT00000000916	XM_022220830
ENSAPOT00000000916	XM_022220831
ENSAPOT00000000932	XM_022220833
ENSAPOT00000017892	XM_022191968
ENSAPOT00000017892	XM_022191970
ENSAPOT00000017895	XM_022203272
ENSAPOT00000017895	XM_022203273
ENSAPOT00000018412	XM_022198087
ENSAPOT00000018544	XM_022202561
ENSAPOT00000018556	XM_022202560
ENSAPOT00000018635	XM_022215533
ENSAPOT00000001488	XM_022214680
ENSAPOT00000001498	XM_022214687
ENSAPOT00000002753	XM_022198152
ENSAPOT00000002887	XM_022194754
ENSAPOT00000002887	XM_022194755
ENSAPOT00000002887	XM_022194756
ENSAPOT00000002887	XM_022194757
ENSAPOT00000002887	XM_022194758
ENSAPOT00000002887	XM_022194759
ENSAPOT00000002887	XM_022194764
ENSAPOT00000002919	XM_022194760
ENSAPOT00000002919	XM_022194761
ENSAPOT00000002919	XM_022194765
ENSAPOT00000003031	XM_022194762
ENSAPOT00000003031	XM_022194763
ENSAPOT00000017971	XM_022191963
ENSAPOT00000031369	XM_022197259
ENSAPOT00000031369	XM_022197267
ENSAPOT00000000039	XM_022215559
ENSAPOT00000000039	XM_022215560
ENSAPOT00000001951	XM_022212439
ENSAPOT00000001951	XM_022212440
ENSAPOT00000018108	XM_022188804
ENSAPOT00000018108	XM_022188864
ENSAPOT00000031319	XM_022188919
ENSAPOT00000031319	XM_022188972
ENSAPOT00000000518	XM_022210712
ENSAPOT00000000592	XM_022212391
ENSAPOT00000000592	XM_022212392
ENSAPOT00000001204	XM_022206792
ENSAPOT00000001354	XM_022192896
ENSAPOT00000001354	XM_022192897
ENSAPOT00000001354	XM_022192898
ENSAPOT00000001354	XM_022192899
ENSAPOT00000001354	XM_022192901
ENSAPOT00000001384	XM_022192900
ENSAPOT00000017664	XM_022204222
ENSAPOT00000017841	XM_022214215
ENSAPOT00000018107	XM_022200792
ENSAPOT00000018472	XM_022193928
ENSAPOT00000031247	XM_022214198
ENSAPOT00000031247	XM_022214207
ENSAPOT00000000530	XM_022191198
ENSAPOT00000003389	XM_022197323
ENSAPOT00000031527	XM_022195461
ENSAPOT00000000532	XM_022203301
ENSAPOT00000000626	XM_022194713
ENSAPOT00000001052	XM_022200844
ENSAPOT00000001063	XM_022200842
ENSAPOT00000001063	XM_022200845
ENSAPOT00000001893	XM_022195510
ENSAPOT00000001943	XM_022217094
ENSAPOT00000001943	XM_022217095
ENSAPOT00000001943	XM_022217096
ENSAPOT00000002293	XM_022199078
ENSAPOT00000002924	XM_022220874
ENSAPOT00000002924	XM_022220875
ENSAPOT00000002924	XM_022220876
ENSAPOT00000002924	XM_022220877
ENSAPOT00000002924	XM_022220878
ENSAPOT00000018785	XM_022187452
ENSAPOT00000017938	XM_022215567
ENSAPOT00000018056	XM_022209159
ENSAPOT00000000398	XM_022217053
ENSAPOT00000000398	XM_022217055
ENSAPOT00000003234	XM_022200890
ENSAPOT00000000604	XM_022203299
ENSAPOT00000000604	XM_022203300
ENSAPOT00000001116	XM_022208394
ENSAPOT00000003621	XM_022221686
ENSAPOT00000000007	XM_022220080
ENSAPOT00000000767	XM_022217061
ENSAPOT00000000768	XM_022211609
ENSAPOT00000000777	XM_022211610
ENSAPOT00000002146	XM_022209220
ENSAPOT00000002146	XM_022209221
ENSAPOT00000003227	XM_022205969
ENSAPOT00000003227	XM_022205970
ENSAPOT00000017739	XM_022207495
ENSAPOT00000017739	XM_022207496
ENSAPOT00000017739	XM_022207497
ENSAPOT00000017889	XM_022217879
ENSAPOT00000031213	XM_022194681
ENSAPOT00000031255	XM_022191175
ENSAPOT00000031255	XM_022191176
ENSAPOT00000002612	XM_022206820
ENSAPOT00000002612	XM_022206821
ENSAPOT00000000361	XM_022202584
ENSAPOT00000000361	XM_022202585
ENSAPOT00000000361	XM_022202586
ENSAPOT00000000388	XM_022202587
ENSAPOT00000000388	XM_022202588
ENSAPOT00000000811	XM_022209991
ENSAPOT00000017629	XM_022199827
ENSAPOT00000017975	XM_022223180
ENSAPOT00000000235	XM_022206475
ENSAPOT00000001123	XM_022219416
ENSAPOT00000001323	XM_022194717
ENSAPOT00000001351	XM_022194718
ENSAPOT00000001351	XM_022194720
ENSAPOT00000001366	XM_022194719
ENSAPOT00000002867	XM_022203348
ENSAPOT00000018164	XM_022189419
ENSAPOT00000000806	XM_022199853
ENSAPOT00000001083	XM_022205928
ENSAPOT00000003215	XM_022205971
