HUMAN00001	ENST00000335137
HUMAN00117	ENST00000378371
HUMAN00117	ENST00000378373
HUMAN00117	ENST00000378378
HUMAN00119	ENST00000294599
HUMAN00119	ENST00000356575
HUMAN00120	ENST00000344579
HUMAN00120	ENST00000378344
HUMAN00121	ENST00000270708
HUMAN00122	ENST00000346387
HUMAN00122	ENST00000354437
HUMAN00122	ENST00000357733
HUMAN00122	ENST00000378285
HUMAN00122	ENST00000378288
HUMAN00122	ENST00000378290
HUMAN00122	ENST00000603362
HUMAN00122	ENST00000604074
HUMAN00122	ENST00000604479
HUMAN00122	ENST00000378295
HUMAN00123	ENST00000294600
HUMAN00124	ENST00000444870
HUMAN00125	ENST00000378251
HUMAN00127	ENST00000378223
HUMAN00127	ENST00000378230
HUMAN00129	ENST00000338895
HUMAN00132	ENST00000361605
HUMAN00133	ENST00000378191
HUMAN00133	ENST00000378190
HUMAN00134	ENST00000489180
HUMAN00134	ENST00000622020
HUMAN00134	ENST00000378156
HUMAN00136	ENST00000164247
HUMAN00136	ENST00000352527
HUMAN00136	ENST00000378092
HUMAN00136	ENST00000378097
HUMAN00136	ENST00000428161
HUMAN00136	ENST00000458166
HUMAN00136	ENST00000666163
HUMAN00136	ENST00000668559
HUMAN00136	ENST00000669250
HUMAN00136	ENST00000671676
HUMAN00136	ENST00000378083
HUMAN00136	ENST00000602612
HUMAN00140	ENST00000262450
HUMAN00145	ENST00000234875
HUMAN00146	ENST00000377939
HUMAN00147	ENST00000343813
HUMAN00149	ENST00000377898
HUMAN00150	ENST00000377893
HUMAN00152	ENST00000377842
HUMAN00152	ENST00000377845
HUMAN00152	ENST00000377860
HUMAN00152	ENST00000418124
HUMAN00152	ENST00000545482
HUMAN00152	ENST00000608083
HUMAN00152	ENST00000361521
HUMAN00152	ENST00000377855
HUMAN00154	ENST00000377836
HUMAN00154	ENST00000377834
HUMAN00154	ENST00000377837
HUMAN00155	ENST00000636330
HUMAN00158	ENST00000348333
HUMAN00158	ENST00000351748
HUMAN00158	ENST00000351959
HUMAN00158	ENST00000356876
HUMAN00158	ENST00000414040
HUMAN00158	ENST00000502588
HUMAN00158	ENST00000502730
HUMAN00158	ENST00000510563
HUMAN00158	ENST00000377782
HUMAN00158	ENST00000485036
HUMAN00159	ENST00000340850
HUMAN00159	ENST00000377725
HUMAN00159	ENST00000377728
HUMAN00159	ENST00000377732
HUMAN00159	ENST00000377748
HUMAN00159	ENST00000400913
HUMAN00159	ENST00000400915
HUMAN00159	ENST00000535355
HUMAN00159	ENST00000537245
HUMAN00160	ENST00000377705
HUMAN00161	ENST00000351136
HUMAN00161	ENST00000333172
HUMAN00162	ENST00000377674
HUMAN00163	ENST00000377663
HUMAN00163	ENST00000377658
HUMAN00164	ENST00000377648
HUMAN00165	ENST00000307896
HUMAN00165	ENST00000054650
HUMAN00165	ENST00000377627
HUMAN00170	ENST00000294401
HUMAN00170	ENST00000377577
HUMAN00172	ENST00000473578
HUMAN00172	ENST00000303635
HUMAN00172	ENST00000557126
HUMAN00177	ENST00000054666
HUMAN00178	ENST00000361923
HUMAN00178	ENST00000377532
HUMAN00178	ENST00000613533
HUMAN00180	ENST00000054668
HUMAN00180	ENST00000361696
HUMAN00182	ENST00000377507
HUMAN00182	ENST00000615230
HUMAN00185	ENST00000377488
HUMAN00185	ENST00000377491
HUMAN00185	ENST00000493373
HUMAN00185	ENST00000493678
HUMAN00185	ENST00000338639
HUMAN00187	ENST00000377482
HUMAN00190	ENST00000471889
HUMAN00191	ENST00000400908
HUMAN00191	ENST00000476556
HUMAN00191	ENST00000337907
HUMAN00193	ENST00000234590
HUMAN00195	ENST00000377443
HUMAN00195	ENST00000377436
HUMAN00195	ENST00000377442
HUMAN00197	ENST00000400906
HUMAN00198	ENST00000377414
HUMAN00198	ENST00000377424
HUMAN00200	ENST00000377411
HUMAN00201	ENST00000377403
HUMAN00201	ENST00000602477
HUMAN00202	ENST00000357898
HUMAN00202	ENST00000377399
HUMAN00202	ENST00000328089
HUMAN00203	ENST00000302692
HUMAN00204	ENST00000340305
HUMAN00204	ENST00000340381
HUMAN00206	ENST00000543390
HUMAN00206	ENST00000536656
HUMAN00207	ENST00000361311
HUMAN00207	ENST00000377298
HUMAN00208	ENST00000623863
HUMAN00209	ENST00000377256
HUMAN00209	ENST00000377258
HUMAN00209	ENST00000400904
HUMAN00209	ENST00000377263
HUMAN00211	ENST00000377213
HUMAN00211	ENST00000400903
HUMAN00211	ENST00000377223
HUMAN00212	ENST00000377205
HUMAN00214	ENST00000294435
HUMAN00216	ENST00000253251
HUMAN00216	ENST00000672724
HUMAN00216	ENST00000343090
HUMAN00218	ENST00000263934
HUMAN00218	ENST00000377083
HUMAN00218	ENST00000377086
HUMAN00218	ENST00000377081
HUMAN00218	ENST00000377093
HUMAN00219	ENST00000270776
HUMAN00221	ENST00000309048
HUMAN00221	ENST00000602787
HUMAN00224	ENST00000377049
HUMAN00225	ENST00000377036
HUMAN00225	ENST00000377038
HUMAN00226	ENST00000356607
HUMAN00227	ENST00000344008
HUMAN00227	ENST00000377022
HUMAN00229	ENST00000377004
HUMAN00230	ENST00000639083
HUMAN00230	ENST00000240185
HUMAN00235	ENST00000400898
HUMAN00235	ENST00000400897
HUMAN00236	ENST00000376957
HUMAN00241	ENST00000304457
HUMAN00241	ENST00000376936
HUMAN00242	ENST00000361445
HUMAN00243	ENST00000376819
HUMAN00244	ENST00000376804
HUMAN00244	ENST00000376810
HUMAN00246	ENST00000294484
HUMAN00247	ENST00000354287
HUMAN00249	ENST00000376768
HUMAN00250	ENST00000376753
HUMAN00251	ENST00000376669
HUMAN00251	ENST00000376672
HUMAN00253	ENST00000294485
HUMAN00256	ENST00000376629
HUMAN00256	ENST00000376637
HUMAN00256	ENST00000400895
HUMAN00256	ENST00000452018
HUMAN00256	ENST00000314340
HUMAN00258	ENST00000433342
HUMAN00259	ENST00000376585
HUMAN00259	ENST00000376590
HUMAN00259	ENST00000376592
HUMAN00259	ENST00000376583
HUMAN00261	ENST00000312413
HUMAN00261	ENST00000346436
HUMAN00261	ENST00000376496
HUMAN00262	ENST00000376480
HUMAN00262	ENST00000610706
HUMAN00263	ENST00000376468
HUMAN00264	ENST00000376572
HUMAN00264	ENST00000616327
HUMAN00264	ENST00000376576
HUMAN00267	ENST00000196061
HUMAN00268	ENST00000235329
HUMAN00268	ENST00000444836
HUMAN00269	ENST00000235332
HUMAN00270	ENST00000413146
HUMAN00270	ENST00000417814
HUMAN00270	ENST00000263932
HUMAN00271	ENST00000376259
HUMAN00272	ENST00000613099
HUMAN00272	ENST00000620676
HUMAN00274	ENST00000616661
HUMAN00275	ENST00000376221
HUMAN00276	ENST00000359318
HUMAN00277	ENST00000614859
HUMAN00278	ENST00000357726
HUMAN00279	ENST00000332296
HUMAN00280	ENST00000633392
HUMAN00280	ENST00000619922
HUMAN00281	ENST00000634171
HUMAN00281	ENST00000317869
HUMAN00282	ENST00000632257
HUMAN00282	ENST00000240189
HUMAN00283	ENST00000632563
HUMAN00283	ENST00000235349
HUMAN00284	ENST00000632873
HUMAN00284	ENST00000235347
HUMAN00285	ENST00000330881
HUMAN00285	ENST00000355096
HUMAN00285	ENST00000633146
HUMAN00285	ENST00000616979
HUMAN00286	ENST00000415464
HUMAN00286	ENST00000632295
HUMAN00286	ENST00000632388
HUMAN00286	ENST00000376189
HUMAN00287	ENST00000631964
HUMAN00287	ENST00000636332
HUMAN00287	ENST00000436041
HUMAN00288	ENST00000613059
HUMAN00288	ENST00000619661
HUMAN00288	ENST00000632559
HUMAN00288	ENST00000634012
HUMAN00288	ENST00000635813
HUMAN00288	ENST00000636290
HUMAN00288	ENST00000614839
HUMAN00289	ENST00000617807
HUMAN00290	ENST00000633387
HUMAN00290	ENST00000633810
HUMAN00290	ENST00000621994
HUMAN00291	ENST00000613059
HUMAN00291	ENST00000619661
HUMAN00291	ENST00000632559
HUMAN00291	ENST00000634012
HUMAN00291	ENST00000635813
HUMAN00291	ENST00000636290
HUMAN00291	ENST00000614839
HUMAN00291	ENST00000624207
HUMAN00292	ENST00000633805
HUMAN00292	ENST00000637294
HUMAN00292	ENST00000323770
HUMAN00293	ENST00000633914
HUMAN00293	ENST00000415919
HUMAN00294	ENST00000624297
HUMAN00295	ENST00000618079
HUMAN00295	ENST00000621481
HUMAN00295	ENST00000633074
HUMAN00295	ENST00000622421
HUMAN00296	ENST00000611408
HUMAN00296	ENST00000614831
HUMAN00296	ENST00000616484
HUMAN00296	ENST00000621519
HUMAN00296	ENST00000631760
HUMAN00296	ENST00000632222
HUMAN00296	ENST00000632952
HUMAN00296	ENST00000636073
HUMAN00296	ENST00000637866
HUMAN00296	ENST00000637989
HUMAN00296	ENST00000357367
HUMAN00297	ENST00000376152
HUMAN00298	ENST00000334600
HUMAN00299	ENST00000376101
HUMAN00300	ENST00000376098
HUMAN00301	ENST00000602960
HUMAN00301	ENST00000316412
HUMAN00302	ENST00000376085
HUMAN00304	ENST00000509009
HUMAN00305	ENST00000311066
HUMAN00305	ENST00000343137
HUMAN00305	ENST00000376048
HUMAN00305	ENST00000413440
HUMAN00305	ENST00000235372
HUMAN00308	ENST00000636203
HUMAN00310	ENST00000376008
HUMAN00310	ENST00000376014
HUMAN00310	ENST00000400796
HUMAN00310	ENST00000428417
HUMAN00311	ENST00000375998
HUMAN00311	ENST00000358897
HUMAN00314	ENST00000375980
HUMAN00316	ENST00000375949
HUMAN00317	ENST00000359621
HUMAN00318	ENST00000375910
HUMAN00322	ENST00000424908
HUMAN00323	ENST00000616884
HUMAN00323	ENST00000375847
HUMAN00324	ENST00000375826
HUMAN00325	ENST00000480945
HUMAN00326	ENST00000345034
HUMAN00327	ENST00000375799
HUMAN00328	ENST00000294454
HUMAN00329	ENST00000375782
HUMAN00330	ENST00000332305
HUMAN00330	ENST00000375766
HUMAN00330	ENST00000375771
HUMAN00330	ENST00000441801
HUMAN00332	ENST00000483273
HUMAN00333	ENST00000375759
HUMAN00335	ENST00000375743
HUMAN00335	ENST00000537142
HUMAN00335	ENST00000375733
HUMAN00336	ENST00000329454
HUMAN00338	ENST00000311890
HUMAN00338	ENST00000487046
HUMAN00339	ENST00000375692
HUMAN00339	ENST00000439316
HUMAN00339	ENST00000331433
HUMAN00340	ENST00000375667
HUMAN00340	ENST00000375679
HUMAN00342	ENST00000375662
HUMAN00343	ENST00000358432
HUMAN00344	ENST00000270747
HUMAN00346	ENST00000375599
HUMAN00347	ENST00000375592
HUMAN00348	ENST00000401089
HUMAN00348	ENST00000471507
HUMAN00348	ENST00000492354
HUMAN00348	ENST00000401088
HUMAN00350	ENST00000540400
HUMAN00350	ENST00000335496
HUMAN00354	ENST00000337132
HUMAN00354	ENST00000492095
HUMAN00354	ENST00000443980
HUMAN00354	ENST00000457722
HUMAN00356	ENST00000600179
HUMAN00357	ENST00000430580
HUMAN00358	ENST00000434336
HUMAN00359	ENST00000624031
HUMAN00360	ENST00000375541
HUMAN00361	ENST00000375534
HUMAN00361	ENST00000375535
HUMAN00362	ENST00000341676
HUMAN00362	ENST00000452699
HUMAN00362	ENST00000326735
HUMAN00365	ENST00000375499
HUMAN00366	ENST00000375481
HUMAN00366	ENST00000375486
HUMAN00367	ENST00000631074
HUMAN00367	ENST00000375471
HUMAN00368	ENST00000625769
HUMAN00368	ENST00000375460
HUMAN00370	ENST00000628229
HUMAN00370	ENST00000375448
HUMAN00371	ENST00000624583
HUMAN00372	ENST00000625380
HUMAN00372	ENST00000619609
HUMAN00373	ENST00000375433
HUMAN00373	ENST00000628984
HUMAN00373	ENST00000631021
HUMAN00373	ENST00000375436
HUMAN00374	ENST00000375415
HUMAN00374	ENST00000361221
HUMAN00375	ENST00000617065
HUMAN00375	ENST00000375406
HUMAN00376	ENST00000251296
HUMAN00377	ENST00000400664
HUMAN00378	ENST00000400661
HUMAN00378	ENST00000420770
HUMAN00378	ENST00000375375
HUMAN00379	ENST00000375371
HUMAN00380	ENST00000375341
HUMAN00380	ENST00000538309
HUMAN00380	ENST00000538839
HUMAN00380	ENST00000290597
HUMAN00381	ENST00000455833
HUMAN00382	ENST00000375218
HUMAN00382	ENST00000375254
HUMAN00385	ENST00000375199
HUMAN00385	ENST00000375208
HUMAN00385	ENST00000477853
HUMAN00386	ENST00000330263
HUMAN00387	ENST00000429712
HUMAN00388	ENST00000361640
HUMAN00389	ENST00000235835
HUMAN00390	ENST00000375153
HUMAN00390	ENST00000400548
HUMAN00390	ENST00000375155
HUMAN00393	ENST00000264202
HUMAN00393	ENST00000375142
HUMAN00395	ENST00000322753
HUMAN00396	ENST00000602293
HUMAN00398	ENST00000375136
HUMAN00398	ENST00000548815
HUMAN00398	ENST00000602662
HUMAN00398	ENST00000618761
HUMAN00398	ENST00000621723
HUMAN00398	ENST00000622566
HUMAN00398	ENST00000289749
HUMAN00400	ENST00000289753
HUMAN00401	ENST00000294543
HUMAN00402	ENST00000375121
HUMAN00403	ENST00000375120
HUMAN00404	ENST00000375116
HUMAN00405	ENST00000375111
HUMAN00405	ENST00000400520
HUMAN00406	ENST00000375108
HUMAN00407	ENST00000375105
HUMAN00408	ENST00000375102
HUMAN00409	ENST00000429261
HUMAN00411	ENST00000375099
HUMAN00412	ENST00000289815
HUMAN00412	ENST00000375079
HUMAN00415	ENST00000375078
HUMAN00416	ENST00000264198
HUMAN00417	ENST00000332947
HUMAN00418	ENST00000375071
HUMAN00419	ENST00000321556
HUMAN00420	ENST00000375048
HUMAN00420	ENST00000415136
HUMAN00421	ENST00000400463
HUMAN00421	ENST00000247986
HUMAN00422	ENST00000375031
HUMAN00422	ENST00000444387
HUMAN00424	ENST00000375003
HUMAN00424	ENST00000438032
HUMAN00424	ENST00000312239
HUMAN00424	ENST00000375000
HUMAN00426	ENST00000634879
HUMAN00428	ENST00000264205
HUMAN00428	ENST00000357071
HUMAN00428	ENST00000415912
HUMAN00428	ENST00000374893
HUMAN00430	ENST00000342104
HUMAN00430	ENST00000454000
HUMAN00430	ENST00000619554
HUMAN00430	ENST00000318249
HUMAN00432	ENST00000374832
HUMAN00432	ENST00000539907
HUMAN00432	ENST00000540617
HUMAN00432	ENST00000374840
HUMAN00433	ENST00000374763
HUMAN00434	ENST00000308271
HUMAN00434	ENST00000400301
HUMAN00434	ENST00000421625
HUMAN00434	ENST00000529637
HUMAN00435	ENST00000543870
HUMAN00435	ENST00000344642
HUMAN00436	ENST00000374695
HUMAN00439	ENST00000337107
HUMAN00441	ENST00000290122
HUMAN00443	ENST00000344548
HUMAN00443	ENST00000648594
HUMAN00443	ENST00000656825
HUMAN00443	ENST00000662562
HUMAN00443	ENST00000315554
HUMAN00443	ENST00000400259
HUMAN00444	ENST00000290167
HUMAN00446	ENST00000375647
HUMAN00446	ENST00000404138
HUMAN00448	ENST00000166244
HUMAN00448	ENST00000374644
HUMAN00449	ENST00000402322
HUMAN00449	ENST00000374642
HUMAN00450	ENST00000374637
HUMAN00450	ENST00000374639
HUMAN00450	ENST00000374640
HUMAN00451	ENST00000314933
HUMAN00452	ENST00000374630
HUMAN00452	ENST00000374632
HUMAN00452	ENST00000400191
HUMAN00453	ENST00000426928
HUMAN00454	ENST00000440767
HUMAN00455	ENST00000356634
HUMAN00455	ENST00000400181
HUMAN00456	ENST00000302291
HUMAN00456	ENST00000314174
HUMAN00456	ENST00000418342
HUMAN00457	ENST00000374619
HUMAN00458	ENST00000302271
HUMAN00458	ENST00000374612
HUMAN00458	ENST00000427764
HUMAN00458	ENST00000478691
HUMAN00458	ENST00000634263
HUMAN00458	ENST00000634634
HUMAN00458	ENST00000634713
HUMAN00458	ENST00000634766
HUMAN00458	ENST00000635150
HUMAN00458	ENST00000374616
HUMAN00459	ENST00000374608
HUMAN00459	ENST00000635349
HUMAN00459	ENST00000635400
HUMAN00459	ENST00000314011
HUMAN00460	ENST00000374601
HUMAN00460	ENST00000634832
HUMAN00460	ENST00000635035
HUMAN00460	ENST00000450454
HUMAN00461	ENST00000336689
HUMAN00461	ENST00000437606
HUMAN00461	ENST00000495646
HUMAN00461	ENST00000634513
HUMAN00461	ENST00000634561
HUMAN00461	ENST00000635198
HUMAN00463	ENST00000361729
HUMAN00463	ENST00000634683
HUMAN00464	ENST00000374561
HUMAN00464	ENST00000634790
HUMAN00465	ENST00000374555
HUMAN00466	ENST00000374550
HUMAN00466	ENST00000643754
HUMAN00467	ENST00000418390
HUMAN00467	ENST00000613537
HUMAN00468	ENST00000246151
HUMAN00469	ENST00000374514
HUMAN00471	ENST00000617979
HUMAN00471	ENST00000374497
HUMAN00472	ENST00000374490
HUMAN00472	ENST00000436439
HUMAN00474	ENST00000374479
HUMAN00475	ENST00000374472
HUMAN00476	ENST00000334351
HUMAN00476	ENST00000374468
HUMAN00476	ENST00000647887
HUMAN00479	ENST00000344989
HUMAN00479	ENST00000492112
HUMAN00479	ENST00000343255
HUMAN00479	ENST00000374452
HUMAN00479	ENST00000453840
HUMAN00479	ENST00000484146
HUMAN00482	ENST00000338909
HUMAN00482	ENST00000374434
HUMAN00483	ENST00000270800
HUMAN00484	ENST00000327535
HUMAN00484	ENST00000374418
HUMAN00484	ENST00000327575
HUMAN00484	ENST00000374421
HUMAN00486	ENST00000350501
HUMAN00486	ENST00000236255
HUMAN00486	ENST00000356046
HUMAN00486	ENST00000361548
HUMAN00488	ENST00000374409
HUMAN00488	ENST00000003583
HUMAN00488	ENST00000337248
HUMAN00490	ENST00000374399
HUMAN00490	ENST00000003912
HUMAN00490	ENST00000358028
HUMAN00492	ENST00000538532
HUMAN00492	ENST00000374393
HUMAN00492	ENST00000374395
HUMAN00492	ENST00000412742
HUMAN00492	ENST00000425530
HUMAN00492	ENST00000436717
HUMAN00492	ENST00000610732
HUMAN00492	ENST00000616511
HUMAN00492	ENST00000618490
HUMAN00492	ENST00000630217
HUMAN00493	ENST00000374392
HUMAN00494	ENST00000374389
HUMAN00495	ENST00000374379
HUMAN00495	ENST00000488683
HUMAN00496	ENST00000399916
HUMAN00496	ENST00000308873
HUMAN00496	ENST00000338888
HUMAN00497	ENST00000236273
HUMAN00497	ENST00000354361
HUMAN00498	ENST00000243189
HUMAN00498	ENST00000431849
HUMAN00498	ENST00000473314
HUMAN00499	ENST00000328664
HUMAN00499	ENST00000342055
HUMAN00499	ENST00000357542
HUMAN00499	ENST00000417538
HUMAN00499	ENST00000454452
HUMAN00501	ENST00000374358
HUMAN00502	ENST00000294413
HUMAN00503	ENST00000374343
HUMAN00503	ENST00000399766
HUMAN00504	ENST00000374338
HUMAN00505	ENST00000374332
HUMAN00506	ENST00000361547
HUMAN00506	ENST00000374315
HUMAN00507	ENST00000374303
HUMAN00507	ENST00000374300
HUMAN00507	ENST00000374301
HUMAN00507	ENST00000374307
HUMAN00507	ENST00000466284
HUMAN00507	ENST00000474295
HUMAN00510	ENST00000538789
HUMAN00510	ENST00000374298
HUMAN00511	ENST00000374296
HUMAN00513	ENST00000426559
HUMAN00513	ENST00000455785
HUMAN00513	ENST00000357865
HUMAN00513	ENST00000374291
HUMAN00513	ENST00000399728
HUMAN00514	ENST00000374282
HUMAN00514	ENST00000374284
HUMAN00515	ENST00000374280
HUMAN00516	ENST00000374276
HUMAN00516	ENST00000374278
HUMAN00517	ENST00000374272
HUMAN00518	ENST00000619836
HUMAN00518	ENST00000374269
HUMAN00518	ENST00000374271
HUMAN00519	ENST00000374268
HUMAN00520	ENST00000634842
HUMAN00522	ENST00000448923
HUMAN00522	ENST00000407889
HUMAN00522	ENST00000433939
HUMAN00522	ENST00000648649
HUMAN00523	ENST00000270812
HUMAN00524	ENST00000374253
HUMAN00524	ENST00000361530
HUMAN00525	ENST00000338855
HUMAN00526	ENST00000252992
HUMAN00526	ENST00000451429
HUMAN00526	ENST00000640292
HUMAN00527	ENST00000270792
HUMAN00529	ENST00000374221
HUMAN00529	ENST00000314675
HUMAN00529	ENST00000357089
HUMAN00529	ENST00000374217
HUMAN00529	ENST00000374222
HUMAN00530	ENST00000374213
HUMAN00531	ENST00000308182
HUMAN00532	ENST00000403843
HUMAN00532	ENST00000349618
HUMAN00532	ENST00000436292
HUMAN00533	ENST00000326279
HUMAN00533	ENST00000254231
HUMAN00536	ENST00000360009
HUMAN00536	ENST00000236342
HUMAN00536	ENST00000525682
HUMAN00536	ENST00000526219
HUMAN00538	ENST00000619352
HUMAN00538	ENST00000361427
HUMAN00543	ENST00000531382
HUMAN00543	ENST00000374168
HUMAN00543	ENST00000526792
HUMAN00543	ENST00000530003
HUMAN00543	ENST00000628081
HUMAN00543	ENST00000628256
HUMAN00543	ENST00000629832
HUMAN00543	ENST00000631108
HUMAN00545	ENST00000324856
HUMAN00545	ENST00000374152
HUMAN00545	ENST00000457599
HUMAN00547	ENST00000078527
HUMAN00547	ENST00000374145
HUMAN00548	ENST00000374142
HUMAN00548	ENST00000374141
HUMAN00549	ENST00000339276
HUMAN00550	ENST00000374135
HUMAN00552	ENST00000361720
HUMAN00554	ENST00000321265
HUMAN00555	ENST00000254227
HUMAN00556	ENST00000320567
HUMAN00557	ENST00000522111
HUMAN00558	ENST00000289166
HUMAN00559	ENST00000624078
HUMAN00561	ENST00000263980
HUMAN00561	ENST00000374086
HUMAN00562	ENST00000319394
HUMAN00562	ENST00000361771
HUMAN00562	ENST00000447062
HUMAN00566	ENST00000498220
HUMAN00567	ENST00000616558
HUMAN00567	ENST00000318074
HUMAN00567	ENST00000543823
HUMAN00568	ENST00000493901
HUMAN00568	ENST00000357582
HUMAN00568	ENST00000374040
HUMAN00569	ENST00000270879
HUMAN00569	ENST00000354982
HUMAN00570	ENST00000374030
HUMAN00570	ENST00000374027
HUMAN00571	ENST00000374024
HUMAN00572	ENST00000618852
HUMAN00572	ENST00000536657
HUMAN00573	ENST00000247087
HUMAN00573	ENST00000374011
HUMAN00573	ENST00000642245
HUMAN00573	ENST00000642416
HUMAN00573	ENST00000644989
HUMAN00573	ENST00000673934
HUMAN00574	ENST00000374005
HUMAN00574	ENST00000374003
HUMAN00574	ENST00000374004
HUMAN00574	ENST00000399173
HUMAN00575	ENST00000339145
HUMAN00575	ENST00000361157
HUMAN00575	ENST00000362020
HUMAN00576	ENST00000010299
HUMAN00576	ENST00000234549
HUMAN00576	ENST00000373949
HUMAN00576	ENST00000373954
HUMAN00576	ENST00000419687
HUMAN00578	ENST00000373943
HUMAN00580	ENST00000311772
HUMAN00580	ENST00000236412
HUMAN00580	ENST00000373931
HUMAN00581	ENST00000624809
HUMAN00582	ENST00000373921
HUMAN00582	ENST00000328928
HUMAN00582	ENST00000373925
HUMAN00582	ENST00000373927
HUMAN00583	ENST00000313433
HUMAN00583	ENST00000373909
HUMAN00583	ENST00000373912
HUMAN00584	ENST00000373888
HUMAN00584	ENST00000373894
HUMAN00588	ENST00000373884
HUMAN00589	ENST00000373871
HUMAN00589	ENST00000373863
HUMAN00589	ENST00000436342
HUMAN00589	ENST00000540618
HUMAN00590	ENST00000373857
HUMAN00590	ENST00000305392
HUMAN00590	ENST00000539896
